User_Name,Comment
the tater,"Everyone has to buy groceries, bowling is not as important to me anyways."
LUCKY,I’ll stay in and let the first people go out first. If they make it then I’ll go out
jarednil69,It's ironic that the first salon customers have the shortest hair.
Hector A,“Just listening to the news and the media and trusting my barber I feel safe” JEEZus that made my heart hurt
I’m Signal,"Not gonna lie honestly thought she would say “50,000 people used to live here, now it’s a ghost town,” at 0:00"
Me,"I think they should have waited. The only good thing about this, is this is going to be a trail for other states."
Zayn Black,How y'all broke and getting haircuts🤓.  $20 fresh cut and unemployed
airicafyi,Kemp try to say Esthetician is hilarious
L&D 210,Imma just sit back and wait for the next 3 weeks see what happens. May the odds be ever in their favor.
David Ellis,"Kemp once asked his dad how to spell posse. His dad said "" forget about spelling it , learn to say it or you'll never get any "" 😕"
WHISKEY OPS on PS4,Why tf did she remove her mask while being interviewed outside. The reporter looking nervous while trying to keep as much distance from her. 🤦🏼‍♂️🤷🏼‍♂️
Cambria Shepard,Estasistens 😂😂😂😂
The Unblinking Eye,9:20 They neglected to mention Colorado.  Ahem.
Semper Fortis,"As a Veteran I must say.... The language of ""loyalty"" is deeply disturbing, and disconcerting. Civvies are standing by while people die overseas for what they refuse to defend at home.

I would like to take the opportunity to share my thoughts with anyone who is interested; it would mean a lot to this  Veteran  if you consider reading what I put the time and effort into typing. Think of it as a way of thanking me for my service; it is my way of sharing my perspective with fellow Americans, veteran and civilian alike.... regardless of political affiliation."
Sly 1,I’m glad that I learned how to cut my own hair and fade when I was in the military. If anybody wants to learn how to cut hair. Just YouTube how to cut my own hair with using different guards with fade
Ron B,“Wirr finna open our jeeyums...”. Preposterous hillbilly.
Ron B,I wish I could hear more about people’s THOUGHTS rather than their “fillins”.
singingchef23,"Sweden is doing herd immunity. Its early results are working

Then again, Sweden has free healthcare and a better quality of health among its population. So we will see how this shakes out"
Alson,"""I think it's about right on time"" - man with clearly no solid understanding of anything really."
Magnus Soevgaard,When Death makes you pay the ultimate price for your arrogance we'll see how you fare fools.
Shining Light,Dying to get their hair done! Literally🤦🏾‍♀️
"Love, Lana","If you're that desperate, cut your own hair at home!"
Kayla J.,All fun and games until someone coughs. Smh
Sarah Valencia,"Hey you guys, wear your masks during interview"
Concert Guy,Oh my god! The first customer at the salon was so much in need of a haircut. 😑
Miguel Delgado,"""if cases blow up he'll re-visit keeping businesses open"" they should re-visit his election."
Jack Tripper,"""Sheltering in place"" in other words, hiding at home."
renaissance1980,You notice the business opening are predominantly small independent minority owned businesses.
STAY HOME Stop the Spread,Haven't we learned that the models have been so upside down.
dark angel,"if you want to open then open, if you want to maintain your business close then closed it !!!!! done deal its up to the businesses !!!!!"
Poe,They need to cover their hair.
Jan J,9:35 - Guess the vehicles got the 6 feet apart memo
Matt Keating,We live in strange times. All of this is so odd to me I don’t know why
cantyouhateme,The receptionist at 2:50 got her mask on upside down.
marty methuselah,"Shave ..
and a hair cut...
..
.."
victoria sanchez,Well... let's wait in 2 weeks.
Daniel van der Merwe,Then stay home
The Inspiration,5:33 most important part of the video. 👍🏾
LIFTWITHUS,1:15 they practicing social distance without mask! Great... Wonderful :))))
Gambit08,"I feel for salon owners, but I’m skeptical as to the sanitariness, particularly in public restrooms, as well as the ability to prevent a second wave."
Maxie Pattie,"Suicidal rates ? GO! 

live like a slave or the rich or die?
WW3 cough, lol"
Duzzie. Ashigana,5 weeks of client but in reality there's only two to three cars lmao
Greg Palmer,Those hair stylists are heroes.  They're brave. They're doing their OWN protections. They're trying to feed their own families.  Bravo!!!!
**,4:36 Done!
Please Donate Money To Me,"I'm so Jealous of Georgia , I wish I could work😒😒😒😒🎶"
yaboytl,I need them BOWLING ALES open!!! hahahaha
Philip Mancera,"Well sir, I guess it's safe to grow my hair long like a woman.🤣 but when the pandemic ends I'm looking forward to get my haircut again.🙂normally I like it short like a Vampire or mobster."
mido riya,what about the strip clubs now
Stephanie S,"we love the uneducated! someone needs to take the dive! let's hope things go well, then we can open more!"
Don DP,what if .... this state reopening works out? :O MSM gonna freak out
Steve Kay,It's your first day back to work and you decide to wear clothes that make you look like a space woman???  Wtf
Enes Cosic,3:15 Is the governor using a soldier as an easel?
Manny Rivera,"Let's go, I love Bowling"
systematic self organization,🖕🏻the plandemic
Frankie Mendoza,"Good luck states lol, even i know nothing abt politics And yet I can hear the ppl👍"
ぽんしゅう,3:34 is the left thing a bronze statue ?
BARRY ZARCULiA,I love them being the guinea pigs
I Gutierrez,“Bowling is ahsenshal”
Trapped In Time Surrounded by Evil,I think it's about right on time! even though i have no idea what time any of this has to do with.
Super 13east,Deep state agenda
Peter Nguyen,HEY AOC CAN YOU SEE THAT !  YOU ARE EVIL
lurnfitness,"I love how its like ""yeah you could die, but just think of all the warm fuzzy feelings you have at restaurants!"" Jesus christ..."
Lorenzo Perry,"Come on, you listen to the news and media! You better listen to health care workers and science!!!😪😪😪😪, May God bless us"
Bless Brazy,I’ll wait lol let see how it works out but for now I chill & watch closely lol
Riks Lee,"Well is their live, if they catch the covid19 then is there fault for going back to work. WHAT OKLAHOMA TOO?!?!? My state is an idiot state."
Mjiles Jiles,"3:18
Why the hell the guy in the beard dancing so crazy?"
stevnated,This sign language guy. (He's a star)
