User_Name,Comment
Butterfly,"The only positive thing I see is cleanliness is being taken to a whole new level, but distancing is forfeited."
Oasis5,So where does everyone go after getting their hair and nails done? Home?
3LD,"Governor Kemp is brilliant, this is the same clown who claims to have not known the virus could lie dormant for up to 14 days with no symptoms.  This is crazy."
Oasis5,How come we don't see Kemp out visiting some of these reopened businesses???
Brrr_Ice,What a good experiment at least it’s not my state.
SilentWolf 655,"Gyms: 80% chance of catching COVID-19
Walking: 0% chance of catching COVID-19"
gbutreasful,I’m ready to die for the American empire 💀☠️💀☠️💀
Chris Cohea,If they are afraid of the virus why are they protesting?
Johnny C,"Just before being put on a ventilator, a man was quoted ""at least I don't look like a caveman."" 🤨"
Stick 13,Hey Georgia do us all a favor. Stay in your state. Don’t infect the rest of us.
sharon somme,Well lets put it this way...when they bury these guys they won't have to spend much time on hair and makeup.
David DeVito,1:30 that “salon” looks like it can afford to be shut down. In stark contrast to the barber shop from earlier.
2NDARY B18C1,SWEATING GYM😂😂😂😂😂
Trackstar35,"I was unaware that a haircut or tattoo was ""essential."" Bowling, though, that's something one cannot live without."
sle2470,Well at least they'll be well groomed and physically fit when they die.
Brian,have fun with your lungs full of liquid not being able to breathe
fabechilla,“We are not disposable just Because we are low income people” THIS!!
Alina,"""It is their personal choice as an american to come into my salon and give me their money!"" That's all I heard from that woman lol"
Diane Lim,"No one:
Kemp: I didn’t know asymptomatic people could spread the Coronavirus
2-weeks later 
No one:"
Steve Kutz,"I can’t judge, because I don’t know what’s true and what isn’t"
InsaneFire10YT,"Bowling alleys: 50% chance of corona
wii sports: 0%"
Eyanosa Sioux,This is a ticking bomb waiting to explode god help us 🙏🏽😓🤦🏽‍♂️
Kevin van Dweller,"Life, liberty and the pursuit of infection."
XChaosBladerX Op,"Here comes more outbreaks, Stupid people are going to ruin everything"
Brian Griffin,I guess this will be an experiment to see what happens when we try to resume life. I don't think it's going to go well
Constitutional Patriot,"people thinking this is going to be the ""new normal""? Cmon dude. We will be back to swapping sweat in a year."
PointingOutObvious,"The businesses that reopen will still lose money, because there aren't enough customers for them to make enough money to pay the rent, utilities, insurance, and employees. And they're putting themselves and their customers at risk. STUPID!💩💩💩💩💩💩"
Dag Koj,I predict there will be a tons of lawsuits coming up in the upcoming months.
negoldk,Can't wait for thousands to die!!
